#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     0                 0                 0                 16.733            210          
GPU 0     0                 0                 0                 16.733            210          
GPU 0     0                 0                 0                 16.733            210          
GPU 0     0                 0                 0                 16.733            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 0                 16.783            210          
GPU 0     0                 0                 17                16.800            210          
GPU 0     1                 0                 1658              18.127            2040         
GPU 0     0                 0                 1658              19.160            2040         
GPU 0     0                 0                 1658              22.974            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     0                 0                 1658              23.754            2040         
GPU 0     0                 0                 1662              24.052            2040         
GPU 0     0                 0                 1662              28.149            2040         
GPU 0     2                 0                 2416              28.013            2040         
GPU 0     61                12                2600              30.123            1425         
GPU 0     87                70                2536              33.040            1950         
GPU 0     45                0                 2536              37.899            2025         
GPU 0     44                0                 2536              39.104            2040         
GPU 0     49                4                 2116              42.570            2040         
GPU 0     81                45                2902              46.875            1710         
GPU 0     41                6                 4384              46.984            1320         
GPU 0     41                6                 4384              52.041            1440         
GPU 0     99                20                4384              59.788            1320         
GPU 0     93                19                4384              69.039            1320         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     93                19                4384              69.562            1320         
GPU 0     99                16                4384              78.140            1380         
GPU 0     99                16                4384              73.403            1980         
GPU 0     99                22                4384              74.575            1320         
GPU 0     99                19                4384              72.340            1320         
GPU 0     99                16                2322              69.305            1665         
GPU 0     87                18                4280              68.280            2010         
GPU 0     99                16                4280              69.110            1320         
GPU 0     99                23                2322              71.684            1335         
GPU 0     41                8                 2110              65.165            2025         
GPU 0     95                8                 2110              66.079            1755         
GPU 0     100               8                 2110              69.770            1770         
GPU 0     100               8                 2110              65.888            1755         
GPU 0     100               8                 2110              66.338            1665         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     100               8                 1800              65.473            2025         
GPU 0     0                 0                 1800              61.100            2025         
GPU 0     0                 0                 1800              56.968            2040         
GPU 0     0                 0                 1800              48.639            2040         
GPU 0     0                 0                 1800              40.482            2040         
GPU 0     0                 0                 1800              32.088            2040         
GPU 0     0                 0                 1800              32.088            2040         
GPU 0     7                 1                 1928              28.586            2040         
GPU 0     9                 3                 1928              28.874            2040         
GPU 0     6                 1                 1800              28.895            2040         
GPU 0     0                 0                 1800              28.876            2040         
GPU 0     0                 0                 1800              28.785            2040         
GPU 0     0                 0                 1800              28.764            2040         
GPU 0     0                 0                 1800              28.371            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     0                 0                 1800              28.335            2040         
GPU 0     0                 0                 1800              28.335            2040         
GPU 0     0                 0                 1926              28.523            2040         
GPU 0     1                 0                 1960              28.506            2040         
GPU 0     61                69                1960              36.109            1860         
GPU 0     51                62                1958              40.314            2025         
GPU 0     0                 0                 1958              38.448            2025         
GPU 0     0                 0                 1958              37.093            2040         
GPU 0     0                 0                 1958              40.106            2040         
GPU 0     0                 0                 1958              36.644            2040         
GPU 0     0                 0                 1958              32.512            2040         
GPU 0     0                 0                 1958              32.512            2040         
GPU 0     0                 0                 1958              32.512            2040         
GPU 0     0                 0                 1958              32.512            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     0                 0                 1958              32.512            2040         
GPU 0     0                 0                 1958              28.243            2040         
GPU 0     0                 0                 1958              28.243            2040         
GPU 0     0                 0                 1958              28.243            2040         
GPU 0     0                 0                 1958              28.243            2040         
GPU 0     0                 0                 1958              28.243            2040         
GPU 0     42                47                2940              32.360            1470         
GPU 0     71                32                2698              36.515            1965         
GPU 0     42                0                 2698              36.261            2025         
GPU 0     42                0                 2698              36.114            2040         
GPU 0     58                17                2470              38.169            1305         
GPU 0     98                35                3228              53.540            1380         
GPU 0     98                35                3228              52.426            1380         
GPU 0     100               2                 3172              59.862            1380         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     100               2                 3228              64.457            1335         
GPU 0     100               2                 3228              71.133            1350         
GPU 0     100               3                 3228              74.148            1950         
GPU 0     89                9                 3228              75.681            1380         
GPU 0     100               2                 3228              75.558            1380         
GPU 0     97                6                 3060              71.031            1365         
GPU 0     92                5                 3060              71.566            1395         
GPU 0     100               2                 2286              71.696            1875         
GPU 0     71                8                 1956              66.800            1800         
GPU 0     34                3                 1956              58.689            2025         
GPU 0     0                 0                 1956              50.611            2025         
GPU 0     7                 2                 1956              46.002            2040         
GPU 0     4                 0                 1956              37.693            2040         
GPU 0     0                 0                 1956              33.883            2040         
#Entity   GPUTL             MCUTL             FBUSD             POWER             SMCLK        
ID                                                               W                             
GPU 0     0                 0                 2018              29.012            1875         
GPU 0     26                28                1832              33.548            2025         
GPU 0     0                 0                 1669              33.537            2040         
